# feature,genomic_accession,start,end,strand,product_accession,name,symbol,locus_tag,feature_interval_length,product_length
tRNA,CT971583.1,45805,45876,-,,tRNA-Gly,,RNA_1,72,
CDS,CT971583.1,45936,47066,-,CAK22472.1,"DHSS soluble hydrogenase, small subunit",,SynWH7803_0046,1131,376
CDS,CT971583.1,47188,48285,+,CAK22473.1,Cobalamin biosynthesis protein CbiD,cbiD,SynWH7803_0047,1098,365
CDS,CT971583.1,48299,49918,+,CAK22474.1,GMP synthase (glutamine-hydrolyzing),guaA,SynWH7803_0048,1620,539
CDS,CT971583.1,49961,50593,+,CAK22475.1,Conserved hyothetical protein,,SynWH7803_0049,633,210
CDS,CT971583.1,50612,50989,+,CAK22476.1,Conserved hypothetical protein,,SynWH7803_0050,378,125
CDS,CT971583.1,50994,52808,+,CAK22477.1,Cell division protein FtsI / penicillin-binding protein 2,,SynWH7803_0051,1815,604
CDS,CT971583.1,52818,53966,-,CAK22478.1,Glycosyltransferase of family GT4; possible alpha-mannosyltransferase,,SynWH7803_0052,1149,382
CDS,CT971583.1,53980,55173,-,CAK22479.1,sulfolipid biosynthesis protein (UDP-sulfoquinovose synthase),,SynWH7803_0053,1194,397
CDS,CT971583.1,55232,55399,-,CAK22480.1,HLIP family protein,,SynWH7803_0054,168,55
CDS,CT971583.1,55500,56312,-,CAK22481.1,Thiazole biosynthesis protein ThiG,thiG,SynWH7803_0055,813,270
CDS,CT971583.1,56426,56929,+,CAK22482.1,Conserved hypothetical protein,,SynWH7803_0056,504,167
CDS,CT971583.1,56897,57490,-,CAK22483.1,Tetratricopeptide repeat domain containing protein,,SynWH7803_0057,594,197
CDS,CT971583.1,57525,57872,-,CAK22484.1,50S ribosomal protein L20,rplT,SynWH7803_0058,348,115
CDS,CT971583.1,57916,58113,-,CAK22485.1,50S ribosomal protein L35,rpmI,SynWH7803_0059,198,65
CDS,CT971583.1,58173,59750,+,CAK22486.1,SpoIID sporulation protein homolog,,SynWH7803_0060,1578,525
CDS,CT971583.1,59781,61115,+,CAK22487.1,Glycosyltransferase of family GT2; possible processive Glycosyltransferase,,SynWH7803_0061,1335,444
CDS,CT971583.1,61131,62996,-,CAK22488.1,DNA polymerase III gamma/tau subunit,dnaX,SynWH7803_0062,1866,621
CDS,CT971583.1,63024,63698,-,CAK22489.1,Conserved hypothetical protein with NC domain,,SynWH7803_0063,675,224
CDS,CT971583.1,63703,65058,-,CAK22490.1,"ATP-dependent Clp protease ATP-binding subunit, ClpX",clpX,SynWH7803_0064,1356,451
CDS,CT971583.1,65425,66303,+,CAK22491.1,Conserved hypothetical protein,,SynWH7803_0065,879,292
CDS,CT971583.1,66313,67197,+,CAK22492.1,Conserved hypothetical protein,,SynWH7803_0066,885,294
CDS,CT971583.1,67241,68863,+,CAK22493.1,Monoamine oxidase,,SynWH7803_0067,1623,540
CDS,CT971583.1,68830,70071,-,CAK22494.1,Uncharacterized conserved membrane protein,,SynWH7803_0068,1242,413
CDS,CT971583.1,70114,70749,+,CAK22495.1,Conserved hypothetical protein,,SynWH7803_0069,636,211
CDS,CT971583.1,70751,71440,-,CAK22496.1,Protease subunit of ATP-dependent Clp protease,clpP,SynWH7803_0070,690,229
CDS,CT971583.1,71487,72932,-,CAK22497.1,Trigger factor,tig,SynWH7803_0071,1446,481
CDS,CT971583.1,73098,74126,+,CAK22498.1,Aspartate-semialdehyde dehydrogenase,asd,SynWH7803_0072,1029,342
CDS,CT971583.1,74133,75041,+,CAK22499.1,Dihydrodipicolinate synthase,dapA,SynWH7803_0073,909,302
CDS,CT971583.1,75108,77150,+,CAK22500.1,Predicted hydrolase of the metallo-beta-lactamase superfamily,,SynWH7803_0074,2043,680
CDS,CT971583.1,77153,77818,-,CAK22501.1,Conserved hypothetical protein,,SynWH7803_0075,666,221
CDS,CT971583.1,77824,78876,-,CAK22502.1,tRNA(Ile)-lysidine synthase,mesJ,SynWH7803_0076,1053,350
CDS,CT971583.1,78916,79692,+,CAK22503.1,Conserved hypothetical protein,,SynWH7803_0077,777,258
CDS,CT971583.1,79755,80141,+,CAK22504.1,Uncharacterized conserved membrane protein,,SynWH7803_0078,387,128
CDS,CT971583.1,80134,80676,+,CAK22505.1,Conserved hypothetical protein,,SynWH7803_0079,543,180
CDS,CT971583.1,80713,82749,+,CAK22506.1,Helicase subunit of the DNA excision repair complex,uvrB,SynWH7803_0080,2037,678
CDS,CT971583.1,82767,84569,-,CAK22507.1,Aspartokinase,lysC,SynWH7803_0081,1803,600
CDS,CT971583.1,84625,85605,-,CAK22508.1,"DNA polymerase III, delta subunit",holA,SynWH7803_0082,981,326
CDS,CT971583.1,85674,86309,+,CAK22509.1,Precorrin-8X methylmutase,cobH,SynWH7803_0083,636,211
CDS,CT971583.1,86294,89026,-,CAK22510.1,DNA mismatch repair protein MutS,mutS,SynWH7803_0084,2733,910
CDS,CT971583.1,89122,90003,-,CAK22511.1,Hypothetical protein,,SynWH7803_0085,882,293
CDS,CT971583.1,90026,90940,-,CAK22512.1,Hypothetical protein,,SynWH7803_0086,915,304
CDS,CT971583.1,91067,91255,+,CAK22513.1,Photosystem II protein PsbZ (ycf9),psbZ,SynWH7803_0087,189,62
CDS,CT971583.1,91288,91773,+,CAK22514.1,ribH Riboflavin synthase beta-chain,ribH,SynWH7803_0088,486,161
CDS,CT971583.1,91897,93081,+,CAK22515.1,Conserved hypothetical protein,,SynWH7803_0089,1185,394
CDS,CT971583.1,93071,93910,-,CAK22516.1,Possible glycosyltransferase,,SynWH7803_0090,840,279
CDS,CT971583.1,93911,94438,-,CAK22517.1,Conserved hypothetical protein,,SynWH7803_0091,528,175
CDS,CT971583.1,94448,95503,-,CAK22518.1,UDP-glucose-4-epimerase,galE,SynWH7803_0092,1056,351
CDS,CT971583.1,95561,96175,-,CAK22519.1,Hypothetical protein,,SynWH7803_0093,615,204
CDS,CT971583.1,96399,97148,-,CAK22520.1,Hypothetical protein,,SynWH7803_0094,750,249
CDS,CT971583.1,97155,98078,-,CAK22521.1,Hypothetical protein,,SynWH7803_0095,924,307
CDS,CT971583.1,98537,99292,-,CAK22522.1,Hypothetical protein,,SynWH7803_0096,756,251
CDS,CT971583.1,100017,100739,-,CAK22523.1,Hypothetical protein,,SynWH7803_0097,723,240
tRNA,CT971583.1,100928,100999,+,,tRNA-Gly,,RNA_2,72,
CDS,CT971583.1,101009,101464,-,CAK22524.1,Possible acetyltransferase,,SynWH7803_0098,456,151
CDS,CT971583.1,101493,102401,-,CAK22525.1,Conserved hypothetical protein,,SynWH7803_0099,909,302
CDS,CT971583.1,102513,102677,+,CAK22526.1,Conserved hypothetical protein,,SynWH7803_0100,165,54
CDS,CT971583.1,102623,102820,+,CAK22527.1,Conserved hypothetical protein,,SynWH7803_0101,198,65
CDS,CT971583.1,102879,103820,+,CAK22528.1,glucose-1-phosphate thymidylyltransferase,"rmlA, rfbA",SynWH7803_0102,942,313
CDS,CT971583.1,103810,104427,+,CAK22529.1,"dTDP-4-dehydrorhamnose 3,5-epimerase",rfbC,SynWH7803_0103,618,205
CDS,CT971583.1,104424,105311,+,CAK22530.1,putative dTDP-4-dehydrorhamnose reductase,rfbD,SynWH7803_0104,888,295
CDS,CT971583.1,105304,106653,+,CAK22531.1,Possible bacterial sugar transferase,,SynWH7803_0105,1350,449
CDS,CT971583.1,106766,108073,+,CAK22532.1,Possible Zn-dependent metalloprotease,,SynWH7803_0106,1308,435
CDS,CT971583.1,108146,109177,+,CAK22533.1,"dTDP-glucose-4,6-dehydratase",rfbB,SynWH7803_0107,1032,343
CDS,CT971583.1,109338,109940,+,CAK22534.1,Hypothetical protein,,SynWH7803_0108,603,200
CDS,CT971583.1,110048,111349,-,CAK22535.1,Conserved hypothetical protein,,SynWH7803_0109,1302,433
CDS,CT971583.1,111312,111599,-,CAK22536.1,similar to N-terminal part of GDP-fucose synthetase,,SynWH7803_0110,288,95
CDS,CT971583.1,111813,117053,-,CAK22537.1,Atypical alkaline phosphatase with phytase-like insertion,,SynWH7803_0111,5241,1746
CDS,CT971583.1,117737,118072,-,CAK22538.1,Hypothetical protein,,SynWH7803_0112,336,111
CDS,CT971583.1,118383,119414,-,CAK22539.1,GDP-L fucose synthetase,wcaG,SynWH7803_0113,1032,343
CDS,CT971583.1,119419,120510,-,CAK22540.1,"GDP-mannose 4,6-dehydratase",gmd,SynWH7803_0114,1092,363
CDS,CT971583.1,120544,121770,-,CAK22541.1,Glycosyltransferase of family GT4,,SynWH7803_0115,1227,408
CDS,CT971583.1,121767,122984,-,CAK22542.1,"Conserved hypothetical protein with TPR repeat, possibly involved in cell envelope biogenesis",,SynWH7803_0116,1218,405
CDS,CT971583.1,123150,123923,+,CAK22543.1,Hypothetical protein,,SynWH7803_0117,774,257
CDS,CT971583.1,123916,124854,+,CAK22544.1,Distantly related to Glycosyltransferase of family GT47,,SynWH7803_0118,939,312
CDS,CT971583.1,124866,126068,+,CAK22545.1,Glycosyltransferase of family GT4,,SynWH7803_0119,1203,400
CDS,CT971583.1,126335,127276,+,CAK22546.1,Hypothetical protein,,SynWH7803_0120,942,313
CDS,CT971583.1,127295,128512,+,CAK22547.1,Glycosyltransferase of family GT4,,SynWH7803_0121,1218,405
CDS,CT971583.1,128570,130174,+,CAK22548.1,Conserved hypothetical protein,,SynWH7803_0122,1605,534
CDS,CT971583.1,129916,133428,+,CAK22549.1,conserved hypothetical protein with internal repeats,,SynWH7803_0123,3513,1170
CDS,CT971583.1,133554,135644,+,CAK22550.1,Glycosyltransferase of family GT41,,SynWH7803_0124,2091,696
CDS,CT971583.1,135608,137773,-,CAK22551.1,Glycosyltransferase of family GT41,,SynWH7803_0125,2166,721
CDS,CT971583.1,137775,139523,+,CAK22552.1,Conserved hypothetical protein with tetratricopeptide repeat domains,,SynWH7803_0126,1749,582
CDS,CT971583.1,139590,140270,+,CAK22553.1,Conserved hypothetical protein,,SynWH7803_0127,681,226
CDS,CT971583.1,140267,143281,+,CAK22554.1,"ABC-type multidrug transport system, ATPase and permease components",,SynWH7803_0128,3015,1004
CDS,CT971583.1,143379,144530,+,CAK22555.1,Multidrug resistance efflux pump,,SynWH7803_0129,1152,383
CDS,CT971583.1,144555,145688,-,CAK22556.1,Distantly related to Glycosyltransferase of family GT4,,SynWH7803_0130,1134,377
CDS,CT971583.1,145757,146884,+,CAK22557.1,Distantly related to Glycosyltransferase of family GT9,,SynWH7803_0131,1128,375
CDS,CT971583.1,146894,147757,-,CAK22558.1,Hypothetical protein,,SynWH7803_0132,864,287
CDS,CT971583.1,147760,149190,-,CAK22559.1,Possible sulfotransferase,,SynWH7803_0133,1431,476
CDS,CT971583.1,149622,150779,+,CAK22560.1,Conserved hypothetical protein,,SynWH7803_0134,1158,385
CDS,CT971583.1,150932,152077,+,CAK22561.1,Glycosyltransferase of family GT4,,SynWH7803_0135,1146,381
CDS,CT971583.1,152145,152888,+,CAK22562.1,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component",,SynWH7803_0136,744,247
CDS,CT971583.1,152888,153712,+,CAK22563.1,"ABC-type polysaccharide/polyol phosphate export systems, permease component",,SynWH7803_0137,825,274
CDS,CT971583.1,153712,154812,+,CAK22564.1,Glycosyltransferase of family GT4,,SynWH7803_0138,1101,366
CDS,CT971583.1,154785,156380,-,CAK22565.1,Glycosyltransferase of family GT4,,SynWH7803_0139,1596,531
CDS,CT971583.1,156377,157357,-,CAK22566.1,Glycosyltransferase of family GT2,,SynWH7803_0140,981,326
CDS,CT971583.1,157511,160378,+,CAK22567.1,Preprotein translocase SecA subunit,secA,SynWH7803_0141,2868,955
CDS,CT971583.1,160398,161141,-,CAK22568.1,Serine acetyltransferase,cysE,SynWH7803_0142,744,247
CDS,CT971583.1,161197,162186,-,CAK22569.1,cyanobacteria-specific GntR-like HTH domain containing transcriptional regulator,,SynWH7803_0143,990,329
CDS,CT971583.1,162266,163072,+,CAK22570.1,Putative carboxymethylenebutenolidase,,SynWH7803_0144,807,268
CDS,CT971583.1,163069,163731,-,CAK22571.1,Translation initiation factor IF-3,infC,SynWH7803_0145,663,220
CDS,CT971583.1,163789,164721,-,CAK22572.1,tRNA delta(2)-isopentenylpyrophosphatetransferase,miaA,SynWH7803_0146,933,310
CDS,CT971583.1,164838,166805,+,CAK22573.1,DNA gyrase subunit B,gyrB,SynWH7803_0147,1968,655
CDS,CT971583.1,166805,167143,+,CAK22574.1,Uncharacterized conserved membrane protein,,SynWH7803_0148,339,112
CDS,CT971583.1,167136,167537,+,CAK22575.1,Integral membrane protein possibly involved in chromosome condensation,,SynWH7803_0149,402,133
CDS,CT971583.1,167530,167946,+,CAK22576.1,Integral membrane protein possibly involved in chromosome condensation,crcB,SynWH7803_0150,417,138
CDS,CT971583.1,167912,168391,-,CAK22577.1,Glutathione peroxidase,,SynWH7803_0151,480,159
CDS,CT971583.1,168466,169890,+,CAK22578.1,Mg/Co/Ni transporter MgtE,mgtE,SynWH7803_0152,1425,474
CDS,CT971583.1,169943,171010,+,CAK22579.1,"Alternative RNA polymerase sigma factor, sigma-70 family",rpoD,SynWH7803_0153,1068,355
CDS,CT971583.1,171026,172009,-,CAK22580.1,Hypothetical protein,,SynWH7803_0154,984,327
CDS,CT971583.1,172006,172956,-,CAK22581.1,Alpha/beta hydrolase superfamily,,SynWH7803_0155,951,316
CDS,CT971583.1,172946,176236,-,CAK22582.1,"Multidrug efflux transporter, Hydrophobe/Amphiphile Efflux-1 (HAE1) family (2.A.6.2.), RND superfamily",,SynWH7803_0156,3291,1096
CDS,CT971583.1,176244,177362,-,CAK22583.1,Possible membrane-fusion protein,,SynWH7803_0157,1119,372
CDS,CT971583.1,177480,177794,-,CAK22584.1,Hypothetical protein,,SynWH7803_0158,315,104
CDS,CT971583.1,177810,178037,+,CAK22585.1,Conserved hypothetical protein,,SynWH7803_0159,228,75
CDS,CT971583.1,178044,178568,-,CAK22586.1,Uncharacterized conserved membrane protein,,SynWH7803_0160,525,174
CDS,CT971583.1,178784,179317,-,CAK22587.1,Uncharacterized conserved membrane protein,,SynWH7803_0161,534,177
CDS,CT971583.1,179378,180496,+,CAK22588.1,Uncharacterized conserved membrane protein,,SynWH7803_0162,1119,372
CDS,CT971583.1,180496,181623,+,CAK22589.1,A/G-specific DNA glycosylase MutY,mutY,SynWH7803_0163,1128,375
CDS,CT971583.1,181607,183190,-,CAK22590.1,Uncharacterized conserved membrane protein,,SynWH7803_0164,1584,527
CDS,CT971583.1,183384,184412,+,CAK22591.1,Fructokinase,csck,SynWH7803_0165,1029,342
CDS,CT971583.1,184415,185920,+,CAK22592.1,Xylulose kinase,xylB,SynWH7803_0166,1506,501
CDS,CT971583.1,185901,186848,-,CAK22593.1,"Sugar kinase, ribokinase family",rbsK,SynWH7803_0167,948,315
CDS,CT971583.1,186861,187322,-,CAK22594.1,Uncharacterised P-loop hydrolase,,SynWH7803_0168,462,153
CDS,CT971583.1,187422,188852,+,CAK22595.1,Adenosylhomocysteinase,ahcY,SynWH7803_0169,1431,476
CDS,CT971583.1,188913,189572,+,CAK22596.1,"Uncharacterised conserved membrane protein, DedA family",,SynWH7803_0170,660,219
CDS,CT971583.1,189581,189979,-,CAK22597.1,Single-stranded DNA-binding protein,ssb,SynWH7803_0171,399,132
CDS,CT971583.1,190132,191184,+,CAK22598.1,Rod shape-determining protein MreB,mreB,SynWH7803_0172,1053,350
CDS,CT971583.1,191190,191939,+,CAK22599.1,Rod shape-determining protein,mreC,SynWH7803_0173,750,249
CDS,CT971583.1,191973,192446,+,CAK22600.1,Uncharacterized conserved membrane protein,,SynWH7803_0174,474,157
CDS,CT971583.1,192443,193756,+,CAK22601.1,"ABC-type sugar transport system, periplasmic component",,SynWH7803_0175,1314,437
CDS,CT971583.1,193868,194677,+,CAK22602.1,Two-component system response regulator,,SynWH7803_0176,810,269
CDS,CT971583.1,194732,196201,+,CAK22603.1,Lysyl-tRNA synthetase,lysS,SynWH7803_0177,1470,489
CDS,CT971583.1,196281,196544,+,CAK22604.1,Conserved hypothetical protein,,SynWH7803_0178,264,87
CDS,CT971583.1,196577,197062,-,CAK22605.1,Conserved hypothetical protein,,SynWH7803_0179,486,161
CDS,CT971583.1,197062,197310,-,CAK22606.1,Conserved hypothetical protein,,SynWH7803_0180,249,82
CDS,CT971583.1,197337,198308,-,CAK22607.1,Conserved hypothetical protein,,SynWH7803_0181,972,323
CDS,CT971583.1,198305,199516,-,CAK22608.1,Uncharacterized conserved secreted protein,,SynWH7803_0182,1212,403
CDS,CT971583.1,199547,201634,+,CAK22609.1,Possible serine/threonine protein kinase,,SynWH7803_0183,2088,695
CDS,CT971583.1,201653,202150,-,CAK22610.1,SsrA-binding protein,smpB,SynWH7803_0184,498,165
CDS,CT971583.1,202215,203312,+,CAK22611.1,Holliday junction DNA helicase,ruvB,SynWH7803_0185,1098,365
CDS,CT971583.1,203309,204109,+,CAK22612.1,Secreted tetratricopeptide repeat domains containing protein,,SynWH7803_0186,801,266
CDS,CT971583.1,204106,205278,+,CAK22613.1,Zinc metallopeptidase M20/M25/M40 family,,SynWH7803_0187,1173,390
CDS,CT971583.1,205275,205505,+,CAK22614.1,Uncharacterized conserved membrane protein,,SynWH7803_0188,231,76
CDS,CT971583.1,205510,206136,+,CAK22615.1,Putative NblB protein (PBS lyase with HEAT-like repeats),nblB,SynWH7803_0189,627,208
CDS,CT971583.1,206326,207729,+,CAK22616.1,Thiamine biosynthesis protein ThiC,thiC,SynWH7803_0190,1404,467
CDS,CT971583.1,207756,209747,-,CAK22617.1,Uncharacterized conserved membrane protein,,SynWH7803_0191,1992,663
CDS,CT971583.1,209752,210693,-,CAK22618.1,"dTDP-glucose 4,6-dehydratase (Nucleoside-diphosphate-sugar epimerases)",rfbB,SynWH7803_0192,942,313
CDS,CT971583.1,210700,211392,-,CAK22619.1,Glycosyltransferase of family GT2,,SynWH7803_0193,693,230
CDS,CT971583.1,211392,211715,-,CAK22620.1,Hypothetical protein with transmembrane domains,,SynWH7803_0194,324,107
CDS,CT971583.1,211894,213903,-,CAK22621.1,Transketolase,"tktA, cbbT",SynWH7803_0195,2010,669
CDS,CT971583.1,213954,215201,-,CAK22622.1,3-oxoacyl-[acyl-carrier-protein] synthase II,fabF,SynWH7803_0196,1248,415
CDS,CT971583.1,215213,215455,-,CAK22623.1,Acyl carrier protein,acpP,SynWH7803_0197,243,80
CDS,CT971583.1,215607,215852,+,CAK22624.1,Photosystem I iron-sulfur center subunit VII PsaC,psaC,SynWH7803_0198,246,81
CDS,CT971583.1,215935,217821,+,CAK22625.1,Glucosamine-6-phosphate synthetase,glmS,SynWH7803_0199,1887,628
CDS,CT971583.1,217808,219274,-,CAK22626.1,Mannose-1-phosphate guanylyltransferase,manC,SynWH7803_0200,1467,488
CDS,CT971583.1,219353,219880,-,CAK22627.1,"RimM protein, required for 16S rRNA processing",rimM,SynWH7803_0201,528,175
CDS,CT971583.1,219949,220131,+,CAK22628.1,Conserved hypothetical protein,,SynWH7803_0202,183,60
CDS,CT971583.1,220137,220958,+,CAK22629.1,Possible ion transport protein,,SynWH7803_0203,822,273
CDS,CT971583.1,220955,221677,-,CAK22630.1,Ribonuclease III,rnc,SynWH7803_0204,723,240
misc_RNA,CT971583.1,221709,222102,-,,bacterial ribonuclease P RNA component of ribozyme,rnpB,RNA_3,394,
tRNA,CT971583.1,222125,222198,+,,tRNA-Arg,,RNA_4,74,
CDS,CT971583.1,222294,222647,+,CAK22631.1,Conserved hypothetical protein,,SynWH7803_0205,354,117
CDS,CT971583.1,222685,223140,+,CAK22632.1,Conserved hypothetical protein,,SynWH7803_0206,456,151
CDS,CT971583.1,223123,224181,-,CAK22633.1,Acetate kinase,ackA,SynWH7803_0207,1059,352
CDS,CT971583.1,224192,226714,-,CAK22634.1,Glycosyltransferase of family GT35; probable glycogen phosphorylase,,SynWH7803_0208,2523,840
CDS,CT971583.1,226771,229206,-,CAK22635.1,Phosphoketolase,,SynWH7803_0209,2436,811
CDS,CT971583.1,229381,230775,+,CAK22636.1,Na+/H+ antiporter,,SynWH7803_0210,1395,464
CDS,CT971583.1,230772,231077,-,CAK22637.1,Uncharacterized conserved membrane protein,,SynWH7803_0211,306,101
CDS,CT971583.1,231148,232080,+,CAK22638.1,Alpha/beta hydrolase superfamily,,SynWH7803_0212,933,310
CDS,CT971583.1,232111,232974,+,CAK22639.1,Galactose mutarotase related enzyme,,SynWH7803_0213,864,287
CDS,CT971583.1,232982,234187,-,CAK22640.1,Glycolate oxidase subunit GlcE,glcE,SynWH7803_0214,1206,401
CDS,CT971583.1,234237,235655,+,CAK22641.1,Conserved hypothetical protein,,SynWH7803_0215,1419,472
CDS,CT971583.1,235638,236978,-,CAK22642.1,Glycolate oxidase iron-sulfur subunit,glcF,SynWH7803_0216,1341,446
CDS,CT971583.1,237012,238436,-,CAK22643.1,Isocitrate dehydrogenase,icd,SynWH7803_0217,1425,474
CDS,CT971583.1,238528,239484,+,CAK22644.1,Glycosyltransferase of family GT2,,SynWH7803_0218,957,318
CDS,CT971583.1,239453,240757,-,CAK22645.1,Uncharacterized conserved membrane protein,,SynWH7803_0219,1305,434
CDS,CT971583.1,240820,241281,+,CAK22646.1,Conserved hypothetical protein,,SynWH7803_0220,462,153
CDS,CT971583.1,241357,242070,+,CAK22647.1,Heme oxygenase,ho1,SynWH7803_0221,714,237
CDS,CT971583.1,242067,243134,+,CAK22648.1,Glycosyltransferase of family GT4,,SynWH7803_0222,1068,355
CDS,CT971583.1,243214,245037,+,CAK22649.1,"Possible ABC-type multidrug transport system, ATPase and permease components",,SynWH7803_0223,1824,607
CDS,CT971583.1,245030,247255,+,CAK22650.1,Glycosyltransferase of family GT4,,SynWH7803_0224,2226,741
CDS,CT971583.1,247255,248403,+,CAK22651.1,Glycosyltransferase of family GT4,,SynWH7803_0225,1149,382
CDS,CT971583.1,248396,249679,+,CAK22652.1,Glycosyltransferase of family GT4,,SynWH7803_0226,1284,427
CDS,CT971583.1,249676,250824,+,CAK22653.1,Glycosyltransferase of family GT4,,SynWH7803_0227,1149,382
